review,sentiment
"This movie is truly boring. It was banned in Chinese cinema and i can see why. It's not because it's critical of the communist regime but simply because the movie is of such low quality. I would never want to pay money to watch this. I love movies from Chen Kaige and Zhang Yimou and i am disappointed such a poor movie could come out of China. It totally seems to ignore the audience and the director seems to have made the movie for himself. The shots of a person standing there doing nothing for up to a minute are hilarious and there's plenty of them. The cinematography and video quality are unbelievably bad. I looked this film up on the Net and it seems like people actually like this film. The only explanation i have for this is that some film buffs think that if a film is not in English it is automatically good. I can't see any reason why people would like this. this is not an art film it's of waste of celluloid.(That's if they actually shot it on film , which they didn't)",0
"I first saw this back in the early 90s on UK TV, i did like it then but i missed the chance to tape it, many years passed but the film always stuck with me and i lost hope of seeing it TV again, the main thing that stuck with me was the end, the hole castle part really touched me, its easy to watch, has a great story, great music, the list goes on and on, its OK me saying how good it is but everyone will take there own best bits away with them once they have seen it, yes the animation is top notch and beautiful to watch, it does show its age in a very few parts but that has now become part of it beauty, i am so glad it has came out on DVD as it is one of my top 10 films of all time. Buy it or rent it just see it, best viewing is at night alone with drink and food in reach so you don't have to stop the film.<br /><br />Enjoy",1
"this film explores if not creates a whole new genre with perfect imperfection --- hilarity, truth, fun, talent and circumstance that make for MAGIC. <br /><br />from creative musical numbers to off the cuff comedy that incorporates actors at their very best, if i hadn't have known better, i would have thought there was an elaborate script here.<br /><br />what you get: a mighty wind meets conversations with god meets something so fresh and new and delightful that it becomes it's own entity.<br /><br />peters and fell both give stellar performances and reel you in immediately. the rest of the cast is also phenomenal. there are no small parts....... only small actors, and everyone involved here should be patted on the back, taken out to dinner and be considered for an Oscar.<br /><br />well done!",1
"I can't say this show is perfect. Perhaps all the previous commenters remember the old Tuesday 10:30 slot taken up by the childish humour of butch Elvira Curt (""There's a space shuttle humping a 747!""). Oh the glory of scrambling to hit any button on the remote to make it change.<br /><br />Face it, comedy can't pull a Showcase and create the comedic genius of the truly Canadian Trailer Park Boys. But hey, they try.<br /><br />This show is by far one of the better original shows. However, none of the following will find themselves laughing at the apparent ""players"" who showcase their stupidity in picking up girls:<br /><br />a) ""Dumb"" Girls - Obviously, they can't realise that they are just like the girls on the show. Oblivious. Jump on the man meat, you can call yourself a whore tomorrow and get his name. He looks good, he must be popular and nice. HAHAHAHA!!! Oh but you'd never do that! Nobody would... if they knew it was happening<br /><br />b) Unsocial guys who think women like nice guys - Obviously seeing these guys succeed at what you fail at or don't even get to experience is going to make your primal rages boil. Watch more closely, they get shot down most of the time. They say stupid crap.<br /><br />c) Girls with respect for one another - Obviously seeing your separate distinctly female species get caught up in real world situations is wrong wrong wrong. Nobody gets played. Women are not objects, they can't be played, because they are all very faithful angels who are going to clubs to converse politely with one another without fear of guys trying to pick them up.<br /><br />Oh wait... hmmmmmmmm<br /><br />As much as EVERYBODY will say that this show is not funny, and that it doesn't teach you anything, I have to take the opposite side. The show is very good at detailing the way relationships work for both men AND women. The way they think, and the way they think each other think, and social hierarchy. Its funny to see and hear the guys make absolutely idiotic comments to things the women say (""My grandfather died recently"" ""Oh... well are we having fun tonight?"").<br /><br />Besides, its a club. The place people go to have fun, and get laid. No matter who you are, you're going to a club to get or give attention to someone. Guys go there to test their game and pick up girls. Girls go there to flirt with guys and find the one that sweeps her off her feet the best. Lighten up!<br /><br />If you're a guy, learn a thing or two about different approaches and the different effects they have. If you're a girl, learn what these ""studly"" man whores really think like, and learn to tell them apart from genuine guys. Next time you get broken up with by one of those douchewads, realise its not because of him, its because you're dumb and thought he was the greatest guy ever when he was quite clearly a dick to you the whole time",1
"This film was hard to get a hold of, and when I eventually saw it the disappointment was overwhelming. I mean, this is one of the great stories of the twentieth century: an unknown man takes advantage of the unsuspecting airline industry and GETS AWAY with millions in ransom without hurting anyone or bungling the attempt. With all of this built-in interest, how could anyone make such a lackluster, talk-laden flick of this true-life event. While Williams is always interesting, the screenwriters assumed that the D.B. Cooper persona was stereotypically heroic like a movie star, s what we get is a type-without any engaging details or insights into the mind of a person daring enough and clever enough to have pulled it off. Harrold practically steals the movie with her spunk and pure beauty, but the real letdown was in the handling of the plot and the lame direction. Shame on this film for even existing.",0
"I'd like to start off by saying that I am NOT an anime fan (with a few notable exceptions), and I generally have a low opinion of so-called otakus, as they are so in love with their particular brand of cartooning that they label every movie starring spiky-haired, big-eyed characters as a work of art without even considering other more vital factors, such as the plot. And no anime movie better represents this division between otakus and people with actual taste than this elegant piece of trash, Fatal Fury: the Motion Picture.<br /><br /> As seen through the glassy, witless eyes of an otaku, there's little to find fault with in Fatal Fury-- there's plenty of quirky Japanese-y humor, one-on-one duels, some ""dramatic"" moments, and everything is beautifully drawn. But everyone else will be turned off by the cliched, predictable plot with cliched, predictable characters, culminating in a cliched, predictable ending. The love scenes are hilariously overblown-- the scene in which Sulia ""heals"" Terry is obviously intended to be a tender moment, but it's virtually impossible to not be thrown into spirals of giddy laughter by the sheer ludicrousness of it. And of course, Fatal Fury is not without the obligatory cartoon T&A-- this is supplied gratuitously by the huge-breasted Mai Shiranui. And since Fatal Fury IS based off the video game series of the same name (oh boy), we're treated to numerous pointless cameo appearances by popular characters with little or no relevance to the plot whatsoever (they go through all the trouble of introducing Kim early on, only for him to disappear from the movie totally after that point). This mess of a movie reaches its climax with the unintentionally farcical final battle, in which all the main characters engage the all-powerful main villain in one-on-one combat in turn. That's some thing that's always amused me... even when battles in animes AREN'T taking place in a tournament, they always happen as if they were, regardless of the fact that it makes no sense whatsoever!<br /><br /> Otakus always rave about how anime movies should be treated as MOVIES as opposed to merely cartoons, and a disturbing portion of those same people love Fatal Fury. So would Fatal Fury have been good if it wasn't an anime? The answer is an emphatic ""no""-- all of this movie's charm, what little of it there is, resides in the actual drawings. Had Fatal Fury not been an anime, it would have been worthy of an episode of Mystery Science Theater 3000, if the show was still on the air. That's the key-- this is nothing more than a laughably bad B-movie in the guise of an anime epic. If you're a fan of movies so bad that they're actually entertaining, consider renting Fatal Fury (or catch it on the Sci-Fi channel), as it is definitely one of those. If you're an otaku, please WAKE UP and realize that a good 90% of the stuff you're watching is garbage. As for everyone else, buy a Dreamcast and Fatal Fury: Mark of the Wolves, but don't even consider seeing this movie.",0
"Where to begin. This movie started out as something that seemed like a rip-off of ""Darkness Falls"". An old , disfigured woman living in the woods, giving kids presents for their teeth. Sound familiar? Then it changes. In ""Darkness Falls"", the tooth fairy only killed you if you saw her. The tooth fairy in this movie killed you no matter what. Why did they need the rocker, his hippie girlfriend or the Bubbas and their sister? I think the movie would've been fine without them. It seems like the producers sat around and decided that they needed to put extra people in the movie just so the tooth fairy would have people to kill. Although, it's nice to see a pretty blonde girl not being portrayed as a bubble-head for a change. Okay to rent, but I wouldn't suggest buying it.",0
"The Man Who Knew Too Much{1956}is a remake of a film that Alfred Hitchcock made in England in 1934 with the same name. In my opinion, his later effort is far superior. Many critics and fans of Alfred Hitchcock will argue that the remake is mediocre and doesn't have the spine tingling suspense of the original with Peter Lorre. In both films the plot is essentially the same, except the original is set in Switzerland and the remake in Marrakech . It tells the story of a married couple {James Stewart and Doris Day}vacationing with their young son and meeting a suspicious man, that is very curious about their past. It just so happens, he's an agent that's looking for a couple involved in a plot to assassinate a world leader.Then he gets stabbed in a Marrakeck market because of it being found out that he's a spy,and proceeds to fall into Stewart's arms.Dying,he tells him the whole story of the assassination plot.Stewart and Day then find out that another couple they met were the couple the agent was looking for and have kidnapped their son.The film contains excellent performances by Stewart and Day,in a straight dramatic role,as worried and frightened parents.This film proved that Doris Day could act in suspenseful dramas as well as carefree musicals.The direction by Alfred Hitchcock is top-notch.The film keeps you on the edge of your seat every minute.The scene in Albert Hall is a classic.The original is so slow-paced and drab.I don't know how people can compare the two.Just watch the remake and you'll enjoy it.I give the movie a 9 out of 10.",1
"If you want to see a Horror Film which is Horrible and in very bad taste, this is definitely the film to view. This films starts out with two young teenagers getting wild ideas about going into a chat room and going out on blind dates, and quite possibly they will wind up like a little lamb to the slaughter house. Plenty of blood, gore, nudity, handcuffs and all kinds of blood draining hooks and things you will never dream a person is capable of performing on men and women. If you like piercing, well this kind of piercing deals with heavy heavy hooks and plenty of tattoo's; besides, lots of needles and thread to seal up things on the human body. I really hope that this film does not give some sick person in this world, the idea to act out these horrors in real LIFE.",0
"15 PARK AVENUE is the address ""Mithi/Mithali"" (Konkona) is in search for from the movies beginning. ""Prof.Anu"" (Shabhana Azmi)is Mithi's extremely caring and loving half sister from Mithi's mom's earlier marriage. The movie revolves around these characters and looks into the life of a schizophrenic patient (Mithi). The director tries to explain to the viewer the imaginary world of Mithi, through her continuous blabbering to Anu and others. <br /><br />Konkona deserves not one but thousands of awards (which I am sure, she will be getting)for this rendition of Mithi in this movie. You can see the look of a patient written on her face, by the drooping lips and sleepy eyes, from the first scene itself. Rahul Bose has done a good job, but has been reduced to one half of the movie in spite of his importance in their life.<br /><br />Watch out for the intense relationships shown between the characters of the movie, Mithi & Anu, Anu & Anu's Mom and between Anu & Sanjiv (Kanwaljit Singh). Shabhana Azmi, as usual has done a riveting performance to be remembered as the sister, who sacrificed her life for Mithi.<br /><br />The movie might not be your usual Hindi potboiler, but can certainly make people look at the schizophrenic patients in a different light altogether.<br /><br />As usual, Aparna Sen brings the movie to a different ending rather than any clichéd ones, we might think off. Hats off to her, for this great movie!!!",1
"The story was well plotted and interesting by itself. However, it is difficult for me to write the review of this film without spoiling you. To avoid that, I am not going to talking the story here.<br /><br />I regard this film as a good adaption of Sarah Water's book, as compared with the previous one ""Tipping the velvet"". I read the book first and then watched the DVD later. The film did retain most of spirits of the main characters in the book. Of course, due to the time limitation, the film in the last 30 min seemed to be in a rush to cover the part III of the book. Therefore, it couldn't illustrate well the scene when they all met in the the kitchen of Mr. Ibbs's place and those after that (even the book seemed to me to be a rush on that kitchen scene). Despite that, the film actually did a good job in representing the story. It really worth watching. It's still unclear when BBC-America can broadcast this film. That's pity.<br /><br />PS: noticed that the ages of Maud and Sue were set to be 20-21 instead of 17-18 in the book; the latter is more reasonable while the former is more close to the ages of actresses.",1
"Visual creative epic of inimitable style.<br /><br />This film may neither have the most alternative dramaturgy nor the most artistic acting. But who dares to say this film is no art? I'm not a supporter of the idea, that an important film must be serious, non-commercial or bothering me with questions. Even there are a lot of films, apposite to this attributes, that I like.<br /><br />Bogus Journey, for sure, is not one of this films. What you get is pure, excessive creativity with a very positive charged, childlike energy. This film doesn't reflect reality. Its friendly-naive and utopian. Imagine the world of the future described by Rufus - for me it would be a pretty nice time-place combination to live in! Except of that music ;- )<br /><br />Technically, Bogus Jorney is very well made. I always liked the cinematography and the sceneries of this movie. Especially in this point Bogus Journey tops its prequel by far. Also the effects are good, and I think most of them very made without cgi. I generally prefer the good old effects in big budget movies. Sure its 'just another Hollywood movie' out of some peoples view. But I think it is this in a very charismatic way.<br /><br />A short word to the soundtrack: all the band and orchestral music fits very well into the film. Also the sound design has no lack. I am not a big fan of rock music, but I had to get this track by Winger from the scene 'station' builds the bill and ted robots in the van. I love the unorthodox camera work at its beginning.<br /><br />Let me conclude saying this:<br /><br />This film is very naive and very imaginative! It is way better than Panzerkreuzer Potemkin, The Godfather, Eraserhead or Aguirre - the wrath of god. It is absolutely superior to citizen kane, apocalypse now or chris markers sans soleil... ...it is even better than Total Recall... No way!? Yes way!<br /><br />Bill and Ted's Bogus Journey is simply the best movie ever made.<br /><br />Who dares to disagree makes himself guilty of ""artsie-fartsy behavior"" or likes Terminator Salvation (what is the bigger self-defamation)<br /><br />PS: part 1 is not the better movie. So Bogus Jorney is a superior sequel. Not even Terminator 2 is a superior sequel! Its NOT!",1
"The first ""Home Alone"" was one of the funniest movies of the 90's. The second was just as funny with the same cast and jokes! Now comes ""Home Alone 3"". I was curious how they could continue with the same story considering Kevin would've been 17 by 1997. He could take care of himself, right? So, what does the director decide to do? He takes a child just as annoying and makes him sick. The kid is like 6 years old and the mother leaves him alone in the house? What kind of team of burgerlers are these idiots? I don't really want to get too into detail if you want to sadly see this movie. But please, I'd recommend that you'd stay away from it. It's not worth your precious time. Go fold a piece of paper, do chores, balance a pencil on your nose, or take a nap! It's better to do then to watch ""Home Alone 3""!<br /><br />1/10",0
"Nick Millard aka Nick Phillips should have left well-enough alone when he made ""Criminally Insane"" 10 years before the release of this god-awful waste of time and effort. The fact that the original ""Criminally Insane"" was less than an hour in length should have clued him into the fact that he had probably milked this storyline for all he was going to get out of it...but instead he opts to use TONS of footage from the original in this one as well, even to the point of recycling the original opening credit sequence! Unfortunately, bringing back the rapidly aging Priscilla Alden did not save this one. What little bit of original footage there was in this flick looks as if it were filmed with a rented hand-held camcorder! If this film cost more than $100 to make I would be very surprised and I would be equally surprised if it made anything close to that amount! Avoid this one and watch the original instead!",0
Germans think smirking is funny (just like Americans think mumbling is sexy and that women with English accents are acting). I had to cross my eyes whenever the screen was filled yet again with a giant close-up of a smirking face. One of those 'housewife hacks corporate mainframe' tales where she defrauds a bank by tapping a few random keys on her home PC which is connected only to a power socket. The director obviously loves the rather large leading lady. Can't say I share his feelings. There's quite a funny bit when the entire family sit in front of the television chanting tonelessly along with the adverts. Apparently this review needs to be one line longer so here it is.,0
"Years ago, when I was a poor teenager, my best friend and my brother both had a policy that the person picking the movie should pay. And, while I would never pay to see some of the crap they took me to, I couldn't resist a free trip to the movies! That's how I came to see crap like the second Conan movie and NEVER SAY NEVER AGAIN! Now, despite this being a wretched movie, it is in places entertaining to watch--in a brain dead sort of way. And, technically the stunts and camera-work are good, so this elevates my rating all the way to a 2! So why is the movie so bad? Well, unlike the first Rambo movie, this one has virtually no plot, Rambo himself only says about 3 words (other than grunts and yells), there is a needless and completely irrelevant and undeveloped ""romance"" and the movie is one giant (and stupid) special effect. And what STUPIFYINGLY AWFUL special effects. While 12383499143743701 bullets and rockets are shot at Rambo, none have any effect on him and almost every bullet or arrow Rambo shoots hits its mark! And, while the bad guys are using AK-47s, helicopters and rockets, in some scenes all Rambo had is a bow and arrows with what seem like nuclear-powered tips!! The scene where the one bad guy is shooting at him as he slowly and calmly launches one of these exploding arrows is particularly made for dumb viewers! It was wonderfully parodied in UHF starring Weird Al. Plus, HOT SHOTS, PART DEUX also does a funny parody of the genre--not just this stupid scene.<br /><br />All-in-all, a movie so dumb and pointless, it's almost like self-parody!",0
"I, like many horror fans, have been force fed the same banal big budget Hollywood remakes and MTV high school slasher tripe for the last 20 years. Here, at last, is an original horror genre movie that ticks all the right boxes.<br /><br />You want a hot lead actress, you want vampires, you want cool weapons, you want cool vehicles and you want blood, lots of it, by the bucket load - you got it.<br /><br />With excellent fight choreography and a supporting role from the Hammer Horror scream queen herself Stephanie Beacham, this really is fantastic stuff.<br /><br />Despite it's low budget, by opting to use 35 mm stock and adding quality CG effects to the mix, director James Eaves has created something that feels much bigger.<br /><br />A must for old school horror fans.",1
"Considering the risk of showing same-sex relationships before the late 1980's, Personal Best could have done better to play the same-sex relationship between Hemingway (Chris Cahill) and Donnelly (Tory Skinner) as a more than experimental phase of Cahill's life.<br /><br />It seems to me that the creators of this movie threw in the same-sex relationship between two fairly attractive women in order to attract viewers. Also consider the 90 seconds of exposing the crotches of several women jumping backwards over a high jump pole. This random scene had VERY LITTLE relevance to the movie and it appeared as though this was done merely to keep the audience interested in this bland movie. I suppose the producers were trying to counteract the boring plot and the even more boring setting of the movie (the 1980 Oregon Track and Field Competition).<br /><br />This review may seem harsh, but it is the truth. The exploitation of young Muriel Hemingway's body and the same-sex relationship ruined any credit that I would have given to this film.<br /><br />Pepper Thompson",0
"I unwittingly walked into this ""trap"" of a movie.<br /><br />If I could turn back time or simply get a refund I would be happy.<br /><br />It was 7:30pm and Cinderella Man didn't start until 10pm so I rushed into the theater to catch the movie that started at 7:20pm...and I dare say God reached out his hand (or retracted it) and allowed me to punish myself for my film gluttony by sitting in for this film.<br /><br />It may be unfair to criticize a movie that was not targeted at my heterosexual male cohort, however, there is no excuse for lousy sound and video editing. This movie was at most worthy of a highschool project budget...and I think I've seen better in those play acting French shorts that we used to do about Louis Laloupe.<br /><br />Maybe it's because I'm Canadian and this film was for the LA fudge-packing crew and their sympathizing dames. Woe was me when I realized that then entire audience save me cracked up at all the jokes and entendres...I fully understood the hinted humor...but I just could not relate.<br /><br />This show did show me, supposedly, how Gay men date and build relationships. However, even if it was their purpose of the movie, I feel that the ""Gayness"" was focused on too heavily....the humanity seemed lacking....but again, maybe that was the point...simply to be avant-gard...and to make a splash.<br /><br />I guess with a low budget and poor equipment, you have to make your movie as ""loud"" as possible in order to get crowds and cash return. I really wish I had simply read my Sheldon Van Auken instead. Hehe...I was totally the wrong audience.",0
"Honestly, this may be the worst movie I've ever seen. And I've seen Spider Baby, and Not of This Earth. Heck I've even seen 200 Motels. Having just discovered the Freaks and Geeks series and being surprised at the acting ability of Linda Cardellini I checked out the reviews here and decided this was worth a try. That is the LAST time I will ever rely on a review at IMDb. I didn't realize that MORONS were writing IMDb reviews while they were waiting for their calls to be answered on AM radio. <br /><br />This movie is so far beyond bad that mere words cannot express the wretchedness of its vomitous state. Seriously. <br /><br />Watch this movie if you think Will Farrel is really really really funny, if you think Adam Sandler is a comedic genius. Watch this movie but PLEASE DON'T BREED!",0
